	a	brief
first	protestant	church
protestant	church	built
church	built	in
built	in	china
in	china	for
china	for	a
for	a	different
a	different	vision
different	vision	of
vision	of	old
of	old	china
old	china	spend
china	spend	a
spend	a	few
a	few	quiet
few	quiet	moments
quiet	moments	in
moments	in	the
in	the	classic
the	classic	lou
classic	lou	lim
lou	lim	ieoc
lim	ieoc	garden
ieoc	garden	here
garden	here	arched
here	arched	bridges
arched	bridges	pagodas
bridges	pagodas	fish
pagodas	fish	ponds
fish	ponds	and
ponds	and	stands
and	stands	of
stands	of	bamboo
of	bamboo	create
bamboo	create	the
create	the	mood
the	mood	of
mood	of	a
of	a	timeless
a	timeless	chinese
timeless	chinese	painting
chinese	painting	nearby
painting	nearby	is
nearby	is	the
is	the	memorial
the	memorial	house
memorial	house	of
house	of	dr
of	dr	sun
dr	sun	yat
sun	yat	sen
yat	sen	founder
sen	founder	of
founder	of	the
of	the	chinese
the	chinese	republic
chinese	republic	photos
republic	photos	and
photos	and	documents
and	documents	tell
documents	tell	the
tell	the	life
the	life	story
life	story	of
story	of	the
of	the	physician
the	physician	revolutionary
physician	revolutionary	statesman
revolutionary	statesman	who
statesman	who	lived
who	lived	for
lived	for	a
for	a	time
a	time	in
time	in	macau
in	macau	but
macau	but	never
but	never	in
never	in	this
in	this	building
this	building	kun
building	kun	iam
kun	iam	tong
iam	tong	off
tong	off	avenida
off	avenida	do
avenida	do	coronel
do	coronel	mesquita
coronel	mesquita	open
mesquita	open	daily
open	daily	8am
daily	8am	6pm
8am	6pm	is
6pm	is	a
is	a	17th
a	17th	century
17th	century	buddhist
century	buddhist	temple
buddhist	temple	of
temple	of	considerable
of	considerable	splendor
considerable	splendor	and
splendor	and	charm
and	charm	surrounded
charm	surrounded	by
surrounded	by	statues
by	statues	carvings
statues	carvings	and
carvings	and	incense
and	incense	burners
incense	burners	here
burners	here	the
here	the	faithful
the	faithful	make
faithful	make	their
make	their	devotions
their	devotions	and
devotions	and	check
and	check	their
check	their	fortunes
their	fortunes	and
fortunes	and	traditional
and	traditional	funerary
traditional	funerary	displays
funerary	displays	give
displays	give	a
give	a	cheerful
a	cheerful	send
cheerful	send	off
send	off	to
off	to	the
to	the	recently
the	recently	departed
recently	departed	an
departed	an	unexpected
an	unexpected	piece
unexpected	piece	of
piece	of	historical
of	historical	memorabilia
historical	memorabilia	turns
memorabilia	turns	up
turns	up	in
up	in	the
in	the	monastery
the	monastery	garden
monastery	garden	where
garden	where	guides
where	guides	point
guides	point	out
point	out	a
out	a	small
a	small	stone
small	stone	table
stone	table	used
table	used	for
used	for	a
for	a	treaty
a	treaty	signing
treaty	signing	ceremony
signing	ceremony	in
ceremony	in	1844
in	1844	the
1844	the	signatories
the	signatories	who
signatories	who	were
who	were	the
were	the	chinese
the	chinese	viceroy
chinese	viceroy	from
viceroy	from	canton
from	canton	and
canton	and	the
and	the	minister
the	minister	plenipotentiary
minister	plenipotentiary	of
plenipotentiary	of	the
of	the	united
the	united	states
united	states	of
states	of	america
of	america	put
america	put	their
put	their	names
their	names	to
names	to	a
to	a	historic
a	historic	document
historic	document	the
document	the	first
the	first	ever
first	ever	treaty
ever	treaty	between
treaty	between	the
between	the	two
the	two	countries
two	countries	another
countries	another	important
another	important	ceremony
important	ceremony	took
ceremony	took	place
took	place	in
place	in	1999
in	1999	when
1999	when	macau
when	macau	became
macau	became	part
became	part	of
part	of	china
of	china	the
china	the	handover
the	handover	pavilion
handover	pavilion	was
pavilion	was	meant
was	meant	to
meant	to	be
to	be	a
be	a	temporary
a	temporary	structure
temporary	structure	but
structure	but	public
but	public	outcry
public	outcry	ensured
outcry	ensured	its
ensured	its	preservation
its	preservation	located
preservation	located	on
located	on	xian
on	xian	xing
xian	xing	hai
xing	hai	open
hai	open	weekdays
open	weekdays	10am
weekdays	10am	6pm
10am	6pm	until
6pm	until	10pm
until	10pm	weekends
10pm	weekends	nearby
weekends	nearby	is
nearby	is	the
is	the	macau
the	macau	cultural
macau	cultural	center
cultural	center	and
center	and	the
and	the	museum
the	museum	of
museum	of	art
of	art	open
art	open	tuesday
open	tuesday	sunday
tuesday	sunday	10am
sunday	10am	7pm
10am	7pm	closed
7pm	closed	monday
closed	monday	small
monday	small	admission
small	admission	macau
admission	macau	s
macau	s	oldest
s	oldest	museum
oldest	museum	the
museum	the	maritime
the	maritime	museum
maritime	museum	wednesday
museum	wednesday	monday
wednesday	monday	10am
monday	10am	5
10am	5	30pm
5	30pm	admission
30pm	admission	hk
admission	hk	10
hk	10	hk
10	hk	5
hk	5	children
5	children	over
children	over	10
over	10	traces
10	traces	the
traces	the	history
the	history	of
history	of	macau
of	macau	s
macau	s	connection
s	connection	to
connection	to	the
to	the	sea
the	sea	exhibits
sea	exhibits	cover
exhibits	cover	fishing
cover	fishing	seaborne
fishing	seaborne	trade
seaborne	trade	sea
trade	sea	transport
sea	transport	and
transport	and	there
and	there	is
there	is	an
is	an	aquarium
an	aquarium	the
aquarium	the	museum
the	museum	also
museum	also	offers
also	offers	boat
offers	boat	tours
boat	tours	aboard
tours	aboard	a
aboard	a	fishing
a	fishing	junk
fishing	junk	the
junk	the	museum
the	museum	is
museum	is	almost
is	almost	on
almost	on	the
on	the	spot
the	spot	where
spot	where	the
where	the	portuguese
the	portuguese	first
portuguese	first	landed
first	landed	when
landed	when	they
when	they	came
they	came	ashore
came	ashore	they
ashore	they	found
they	found	the
found	the	a
the	a	ma
a	ma	temple
ma	temple	properly
temple	properly	called
properly	called	ma
called	ma	kok
ma	kok	temple
kok	temple	open
temple	open	daily
open	daily	dawn
daily	dawn	to
dawn	to	dusk
to	dusk	dedicated
dusk	dedicated	to
dedicated	to	the
to	the	favorite
the	favorite	goddess
favorite	goddess	of
goddess	of	fishermen
of	fishermen	who
fishermen	who	is
who	is	also
is	also	known
also	known	as
known	as	tin
as	tin	hau
tin	hau	the
hau	the	area
the	area	was
area	was	called
was	called	a
called	a	ma
a	ma	gau
ma	gau	bay
gau	bay	of
bay	of	a
of	a	ma
a	ma	and
ma	and	in
and	in	this
in	this	way
this	way	macau
way	macau	got
macau	got	its
got	its	name
its	name	the
name	the	ornate
the	ornate	picturesque
ornate	picturesque	temple
picturesque	temple	dates
temple	dates	from
dates	from	the
from	the	ming
the	ming	dynasty
ming	dynasty	1368
dynasty	1368	1644
1368	1644	and
1644	and	is
and	is	the
is	the	oldest
the	oldest	building
oldest	building	in
building	in	macau
in	macau	the
macau	the	remains
the	remains	of
remains	of	the
of	the	17th
the	17th	century
17th	century	barra
century	barra	fortress
barra	fortress	which
fortress	which	once
which	once	defended
once	defended	the
defended	the	southern
the	southern	tip
southern	tip	of
tip	of	the
of	the	peninsula
the	peninsula	contains
peninsula	contains	the
contains	the	chapel
the	chapel	of
chapel	of	santiago
of	santiago	st
santiago	st	james
st	james	the
james	the	saint
the	saint	is
saint	is	much
is	much	revered
much	revered	in
revered	in	the
in	the	surrounding
the	surrounding	area
surrounding	area	among
area	among	other
among	other	legends
other	legends	surrounding
legends	surrounding	the
surrounding	the	statue
the	statue	is
statue	is	a
is	a	very
a	very	modern
very	modern	one
modern	one	during
one	during	the
during	the	chinese
the	chinese	cultural
chinese	cultural	revolution
cultural	revolution	when
revolution	when	red
when	red	guards
red	guards	were
guards	were	running
were	running	rampant
running	rampant	on
rampant	on	wanchai
on	wanchai	island
wanchai	island	just
island	just	a
just	a	swim
a	swim	away
swim	away	the
away	the	image
the	image	of
image	of	st
of	st	james
st	james	is
james	is	said
is	said	to
said	to	have
to	have	stepped
have	stepped	down
stepped	down	from
down	from	the
from	the	altar
the	altar	and
altar	and	halted
and	halted	an
halted	an	invasion
an	invasion	part
invasion	part	of
part	of	the
of	the	fortress
the	fortress	has
fortress	has	been
has	been	converted
been	converted	and
converted	and	is
and	is	now
is	now	used
now	used	as
used	as	a
as	a	luxury
a	luxury	inn
luxury	inn	the
inn	the	northernmost
the	northernmost	point
northernmost	point	in
point	in	macau
in	macau	is
macau	is	the
is	the	frontier
the	frontier	between
frontier	between	two
between	two	contrasting
two	contrasting	worlds
contrasting	worlds	the
worlds	the	barrier
the	barrier	gate
barrier	gate	portas
gate	portas	do
portas	do	cerco
do	cerco	which
cerco	which	was
which	was	built
was	built	more
built	more	than
more	than	a
than	a	century
a	century	ago
century	ago	marks
ago	marks	the
marks	the	boundary
the	boundary	between
boundary	between	the
between	the	enclave
the	enclave	of
enclave	of	macau
of	macau	and
macau	and	the
and	the	people
the	people	s
people	s	republic
s	republic	of
republic	of	china
of	china	trying
china	trying	your
trying	your	luck
your	luck	macau
luck	macau	s
macau	s	casinos
s	casinos	are
casinos	are	a
are	a	source
a	source	of
source	of	non
of	non	stop
non	stop	excitement
stop	excitement	there
excitement	there	are
there	are	12
are	12	of
12	of	them
of	them	you
them	you	can
you	can	t
can	t	miss
t	miss	the
miss	the	eye
the	eye	popping
eye	popping	lisboa
popping	lisboa	which
lisboa	which	has
which	has	several
has	several	floors
several	floors	of
floors	of	gambling
of	gambling	but
gambling	but	there
but	there	s
there	s	also
s	also	the
also	the	hyatt
the	hyatt	regency
hyatt	regency	the
regency	the	mandarian
the	mandarian	oriental
mandarian	oriental	and
oriental	and	taipa
and	taipa	s
taipa	s	jockey
s	jockey	club
jockey	club	the
club	the	fancifully
the	fancifully	decorated
fancifully	decorated	macau
decorated	macau	palace
macau	palace	a
palace	a	floating
a	floating	casino
floating	casino	moored
casino	moored	on
moored	on	the
on	the	western
the	western	waterfront
western	waterfront	is
waterfront	is	fitted
is	fitted	out
fitted	out	with
out	with	gambling
with	gambling	tables
gambling	tables	slot
tables	slot	machines
slot	machines	known
machines	known	locally
known	locally	as
locally	as	hungry
as	hungry	tigers
hungry	tigers	and
tigers	and	for
and	for	hungry
for	hungry	humans
hungry	humans	a
humans	a	restaurant
a	restaurant	gambling
restaurant	gambling	is
gambling	is	wildly
is	wildly	popular
wildly	popular	with
popular	with	the
with	the	chinese
the	chinese	of
chinese	of	hong
of	hong	kong
hong	kong	and
kong	and	they
and	they	make
they	make	up
make	up	nearly
up	nearly	80
nearly	80	percent
80	percent	of
percent	of	all
of	all	visitors
all	visitors	to
visitors	to	the
to	the	casinos
the	casinos	the
casinos	the	casinos
the	casinos	offer
casinos	offer	familiar
offer	familiar	international
familiar	international	games
international	games	baccarat
games	baccarat	blackjack
baccarat	blackjack	boule
blackjack	boule	craps
boule	craps	roulette
craps	roulette	along
roulette	along	with
along	with	more
with	more	exotic
more	exotic	chinese
exotic	chinese	pastimes
chinese	pastimes	watch
pastimes	watch	the
watch	the	fantan
the	fantan	dealer
fantan	dealer	for
dealer	for	a
for	a	few
a	few	minutes
few	minutes	and
minutes	and	you
and	you	ll
you	ll	almost
ll	almost	be
almost	be	an
be	an	expert
an	expert	it
expert	it	s
it	s	simply
s	simply	a
simply	a	matter
a	matter	of
matter	of	how
of	how	many
how	many	odd
many	odd	buttons
odd	buttons	are
buttons	are	left
are	left	after
left	after	he
after	he	has
he	has	divided
has	divided	a
divided	a	pile
a	pile	of
pile	of	them
of	them	into
them	into	groups
into	groups	of
groups	of	four
of	four	dai
four	dai	siu
dai	siu	big
siu	big	and
big	and	small
and	small	is
small	is	a
is	a	dice
a	dice	game
dice	game	in
game	in	which
in	which	the
which	the	croupier
the	croupier	throws
croupier	throws	three
throws	three	dice
three	dice	inside
dice	inside	a
inside	a	glass
a	glass	container
glass	container	players
container	players	bet
players	bet	on
bet	on	the
on	the	numbers
the	numbers	that
numbers	that	will
that	will	come
will	come	up
come	up	and
up	and	on
and	on	whether
on	whether	the
whether	the	result
the	result	will
result	will	be
will	be	big
be	big	or
big	or	small
or	small	keno
small	keno	is
keno	is	a
is	a	variation
a	variation	of
variation	of	bingo
of	bingo	in
bingo	in	which
in	which	the
which	the	player
the	player	chooses
player	chooses	numbers
chooses	numbers	to
numbers	to	bet
to	bet	on
bet	on	before
on	before	the
before	the	draw
the	draw	is
draw	is	made
is	made	the
made	the	casinos
the	casinos	have
casinos	have	no
have	no	admission
no	admission	charge
admission	charge	and
charge	and	formal
and	formal	dress
formal	dress	is
dress	is	optional
is	optional	though
optional	though	long
though	long	pants
long	pants	for
pants	for	men
for	men	are
men	are	required
are	required	they
required	they	keep
they	keep	busy
keep	busy	24
busy	24	hours
24	hours	a
hours	a	day
a	day	but
day	but	if
but	if	you
if	you	want
you	want	a
want	a	change
a	change	of
change	of	scene
of	scene	there
scene	there	are
there	are	always
are	always	more
always	more	gambling
more	gambling	opportunities
gambling	opportunities	available
opportunities	available	you
available	you	can
you	can	try
can	try	your
try	your	luck
your	luck	at
luck	at	pari
at	pari	mutuel
pari	mutuel	betting
mutuel	betting	on
betting	on	jai
on	jai	alai
jai	alai	at
alai	at	pari
at	pari	mutuel
pari	mutuel	greyhound
mutuel	greyhound	racing
greyhound	racing	at
racing	at	the
at	the	cani
the	cani	drome
cani	drome	one
drome	one	of
one	of	the
of	the	largest
the	largest	in
largest	in	the
in	the	world
the	world	and
world	and	harness
and	harness	racing
harness	racing	on
racing	on	taipa
on	taipa	shopping
taipa	shopping	in
shopping	in	macau
in	macau	like
macau	like	hong
like	hong	kong
hong	kong	macau
kong	macau	is
macau	is	a
is	a	duty
a	duty	free
duty	free	port
free	port	it
port	it	is
it	is	famous
is	famous	for
famous	for	its
for	its	gold
its	gold	jewelry
gold	jewelry	market
jewelry	market	prices
market	prices	per
prices	per	tael
per	tael	34
tael	34	grams
34	grams	1
grams	1	2
1	2	ounces
2	ounces	of
ounces	of	gold
of	gold	are
gold	are	set
are	set	daily
set	daily	you
daily	you	should
you	should	always
should	always	ask
always	ask	for
ask	for	a
for	a	certificate
a	certificate	of
certificate	of	guarantee
of	guarantee	when
guarantee	when	you
when	you	buy
you	buy	gold
buy	gold	or
gold	or	jewelry
or	jewelry	look
jewelry	look	for
look	for	jewelry
for	jewelry	shops
jewelry	shops	along
shops	along	avenida
along	avenida	do
avenida	do	infante
do	infante	d
infante	d	henrique
d	henrique	and
henrique	and	avenida
and	avenida	de
avenida	de	almei
de	almei	da
almei	da	ribeiro
da	ribeiro	browsing
ribeiro	browsing	is
browsing	is	a
is	a	real
a	real	pleasure
real	pleasure	in
pleasure	in	macau
in	macau	s
macau	s	main
s	main	streets
main	streets	and
streets	and	byways
and	byways	where
byways	where	shops
where	shops	aimed
shops	aimed	at
aimed	at	the
at	the	tourist
the	tourist	market
tourist	market	are
market	are	interspersed
are	interspersed	with
interspersed	with	the
with	the	more
the	more	workaday
more	workaday	ironmongers
workaday	ironmongers	herbalists
ironmongers	herbalists	and
herbalists	and	noodle
and	noodle	stalls
noodle	stalls	knowle
stalls	knowle	dgeable
knowle	dgeable	visitors
dgeable	visitors	look
visitors	look	for
look	for	antiques
for	antiques	either
antiques	either	chinese
either	chinese	heirlooms
chinese	heirlooms	or
heirlooms	or	leftovers
or	leftovers	from
leftovers	from	the
from	the	gracious
the	gracious	portuguese
gracious	portuguese	colonial
portuguese	colonial	days
colonial	days	however
days	however	you
however	you	are
you	are	not
are	not	likely
not	likely	to
likely	to	find
to	find	bargains
find	bargains	and
bargains	and	you
and	you	should
you	should	be
should	be	aware
